jsfx_slider,vst3_id,jsfx_name,ui_name,default,minimum,maximum,step,choices,page,source_occurrences
226,slider226,Snare2 Noise Decay,Snare2 Noise Decay,0.050000000000000003,0,1,0.001,,Snare 2,10
227,slider227,Snare2 Noise Level,Snare2 Noise Level,0.80000000000000004,0,6,0.01,,Snare 2,10
228,slider228,Snare2 Noise Tone,Snare2 Noise Tone,0.59999999999999998,-1,1,0.01,,Snare 2,12
229,slider229,Snare2 Noise Resonance,Snare2 Noise Resonance,0.55000000000000004,0,1,0.01,,Snare 2,12
230,slider230,Snare2 Body Pitch Decay,Snare2 Body Pitch Decay,0.28000000000000003,0,1,0.01,,Snare 2,10
231,slider231,Snare2 Drive,Snare2 Drive,0,0,1000,1,,Snare 2,10
232,slider232,Snare2 Body Mid,Snare2 Body Mid,0,0,1,0.01,,Snare 2,10
233,slider233,Snare2 Body High,Snare2 Body High,0,0,1,0.01,,Snare 2,9
234,slider234,Snare2 Noise Ring Freq,Snare2 Noise Ring Freq,120,1,1000,1,,Snare 2,10
235,slider235,Snare2 Noise Ring Depth,Snare2 Noise Ring Depth,0,-1,1,0.01,,Snare 2,11
236,slider236,Snare2 Noise Ring Wave,Snare2 Noise Ring Wave,0,0,11,1,"Sine,Triangle,Saw Up,Saw Down,PWM,SampleHold,Acoustic Deep,Acoustic Ring,Acoustic Trash,Acoustic Skin,Acoustic Plate,Acoustic Hollow",Snare 2,17
237,slider237,Snare2 Noise Ring Smooth,Snare2 Noise Ring Smooth,0,0,1,0.001,,Snare 2,11
238,slider238,Snare2 Noise Ring Delay,Snare2 Noise Ring Delay,0,0,3,0.01,,Snare 2,12
239,slider239,Snare2 Noise Ring Wave Shape,Snare2 Noise Ring Wave Shape,0.5,0.01,0.99,0.01,,Snare 2,11
240,slider240,Snare2 Drive Mix,Snare2 Drive Mix,0.5,0,1,0.01,,Snare 2,11
241,slider241,Snare2 Comp Threshold,Snare2 Comp Threshold,-18,-60,0,0.1,,Snare 2,5
242,slider242,Snare2 Comp Ratio,Snare2 Comp Ratio,1,0,4,1,"4:1,8:1,12:1,20:1,All",Snare 2,8
243,slider243,Snare2 Comp Gain,Snare2 Comp Gain,0,-24,24,0.1,,Snare 2,5
244,slider244,Snare2 Comp Attack (ms),Snare2 Comp Attack (ms),8,0.1,100,0.1,,Snare 2,5
245,slider245,Snare2 Comp Release (ms),Snare2 Comp Release (ms),90,1,500,1,,Snare 2,5
246,slider246,Snare2 Comp Mix,Snare2 Comp Mix,0,0,100,0.1,,Snare 2,5
247,slider247,Kick Engine,Kick Engine,0.20000000000000001,0,6,1,"808,Simmons,909,Saike Type 0,Saike Type 1,Saike Type 2,Saike Type 3",Kick,28
248,slider248,Snare 1 Engine,Snare 1 Engine,0,0,7,1,"808,Simmons,Acoustic,Saike Type 1,Saike Type 2,Saike Type 3,Hybrid FM,Saike 909 Variant",Snare 1,29
249,slider249,Roll Division,Roll Division,0,0,16,1,"Off,4,6,8,12,16,24,32,48,64,96,128,192,256,384,512,768",Global,8
250,slider250,Accent Velocity Threshold,Accent Velocity Threshold,112,0,127,1,,Global,2
251,slider251,Accent Character,Accent Character,1,0,10,0.01,,Global,2
252,slider252,Rim Delay Mode,Rim Delay Mode,0,0,1,1,"Fixed,Tape",Rim,7
253,slider253,Roll Shuffle,Roll Shuffle,1,0,100,1,,Global,5
254,slider254,Roll Second Hit Velocity Reduction,Roll Second Hit Velocity Reduction,1.2,0,100,1,,Global,3
255,slider255,Audio Output Mode,Audio Output Mode,0,0,1,1,"Stereo,Multichannel",Global,4
256,slider256,Master Volume (dB),Master Volume (dB),0,-120,0,0.1,,Global,23
